subject,item,mode,result
Subject_15,Er sah viele bunte Regenbogen,_mp_1.5,1
Subject_15,Er sah viele bunte Regenbogen,_mp_2.0,0
Subject_15,Chabos wissen wer der Babo ist,_mp_1.0,0
Subject_15,Chabos wissen wer der Babo ist,_mp_1.5,1
Subject_15,Chabos wissen wer der Babo ist,_mp_2.0,0
Subject_15,Das Telefon ist seit sieben Tagen kaputt,_mp_1.0,0
Subject_15,Das Telefon ist seit sieben Tagen kaputt,_mp_1.5,1
Subject_15,Das Telefon ist seit sieben Tagen kaputt,_mp_2.0,0
Subject_15,Die Artikel waren wieder vorraetig,_mp_1.0,0
Subject_15,Die Artikel waren wieder vorraetig,_mp_1.5,1
Subject_15,Die Artikel waren wieder vorraetig,_mp_2.0,0
Subject_15,Die Sosse ist viermal uebergekocht,_mp_1.0,1
Subject_15,Die Sosse ist viermal uebergekocht,_mp_1.5,0
Subject_15,Die Sosse ist viermal uebergekocht,_mp_2.0,1
Subject_15,Die Strassenbahn fuhr weiter geradeaus,_mp_1.0,1
Subject_15,Die Strassenbahn fuhr weiter geradeaus,_mp_1.5,0
Subject_15,Die Strassenbahn fuhr weiter geradeaus,_mp_2.0,1
Subject_15,Diese Zeitung ist bereits veraltet,_mp_1.0,1
Subject_15,Diese Zeitung ist bereits veraltet,_mp_1.5,0
Subject_15,Diese Zeitung ist bereits veraltet,_mp_2.0,0
Subject_15,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.0,1
Subject_15,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.5,1
Subject_15,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_2.0,0
Subject_15,Benno gefaellt die orange Vase,_mp_1.0,0
Subject_15,Benno gefaellt die orange Vase,_mp_1.5,1
Subject_15,Benno gefaellt die orange Vase,_mp_2.0,0
Subject_16,Badetag,_mp_1.0,1
Subject_16,Badetag,_mp_1.5,1
Subject_16,Badetag,_mp_2.0,1
Subject_16,Bewirken,_mp_1.0,1
Subject_16,Bewirken,_mp_1.5,0
Subject_16,Bewirken,_mp_2.0,1
Subject_16,Butterweich,_mp_1.0,1
Subject_16,Butterweich,_mp_1.5,1
Subject_16,Butterweich,_mp_2.0,1
Subject_16,Giraffe,_mp_1.0,0
Subject_16,Giraffe,_mp_1.5,1
Subject_16,Giraffe,_mp_2.0,1
Subject_16,Kakadu,_mp_1.0,0
Subject_16,Kakadu,_mp_1.5,0
Subject_16,Kakadu,_mp_2.0,1
Subject_16,Karotte,_mp_1.0,1
Subject_16,Karotte,_mp_1.5,1
Subject_16,Karotte,_mp_2.0,1
Subject_16,Kassette,_mp_1.0,0
Subject_16,Kassette,_mp_1.5,1
Subject_16,Kassette,_mp_2.0,0
Subject_16,Musiker,_mp_1.0,1
Subject_16,Musiker,_mp_1.5,0
Subject_16,Musiker,_mp_2.0,1
Subject_16,Vergessen,_mp_1.0,1
Subject_16,Vergessen,_mp_1.5,1
Subject_16,Vergessen,_mp_2.0,1
Subject_16,Zigarre,_mp_1.0,0
Subject_16,Zigarre,_mp_1.5,1
Subject_16,Zigarre,_mp_2.0,0
Subject_16,Aber sehen will sie ihn doch,_mp_1.0,1
Subject_16,Aber sehen will sie ihn doch,_mp_1.5,1
Subject_16,Aber sehen will sie ihn doch,_mp_2.0,0
Subject_16,Er sah viele bunte Regenbogen,_mp_1.0,0
Subject_16,Er sah viele bunte Regenbogen,_mp_1.5,0
Subject_16,Er sah viele bunte Regenbogen,_mp_2.0,1
Subject_16,Chabos wissen wer der Babo ist,_mp_1.0,1
Subject_16,Chabos wissen wer der Babo ist,_mp_1.5,1
Subject_16,Chabos wissen wer der Babo ist,_mp_2.0,0
Subject_16,Das Telefon ist seit sieben Tagen kaputt,_mp_1.0,1
Subject_16,Das Telefon ist seit sieben Tagen kaputt,_mp_1.5,1
Subject_16,Das Telefon ist seit sieben Tagen kaputt,_mp_2.0,1
Subject_16,Die Artikel waren wieder vorraetig,_mp_1.0,0
Subject_16,Die Artikel waren wieder vorraetig,_mp_1.5,0
Subject_16,Die Artikel waren wieder vorraetig,_mp_2.0,1
Subject_16,Die Sosse ist viermal uebergekocht,_mp_1.0,0
Subject_16,Die Sosse ist viermal uebergekocht,_mp_1.5,0
Subject_16,Die Sosse ist viermal uebergekocht,_mp_2.0,1
Subject_16,Die Strassenbahn fuhr weiter geradeaus,_mp_1.0,1
Subject_16,Die Strassenbahn fuhr weiter geradeaus,_mp_1.5,0
Subject_16,Die Strassenbahn fuhr weiter geradeaus,_mp_2.0,0
Subject_16,Diese Zeitung ist bereits veraltet,_mp_1.0,1
Subject_16,Diese Zeitung ist bereits veraltet,_mp_1.5,0
Subject_16,Diese Zeitung ist bereits veraltet,_mp_2.0,0
Subject_16,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.0,0
Subject_16,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_1.5,1
Subject_16,Sie faehrt keinen Ferrari sondern einen Maserati,_mp_2.0,0
Subject_16,Benno gefaellt die orange Vase,_mp_1.0,1
Subject_16,Benno gefaellt die orange Vase,_mp_1.5,0
Subject_16,Benno gefaellt die orange Vase,_mp_2.0,1
Subject_17,Badetag,_mp_1.0,1
Subject_17,Badetag,_mp_1.5,1
Subject_17,Badetag,_mp_2.0,1
Subject_17,Bewirken,_mp_1.0,1
Subject_17,Bewirken,_mp_1.5,0
Subject_17,Bewirken,_mp_2.0,1
Subject_17,Butterweich,_mp_1.0,1
Subject_17,Butterweich,_mp_1.5,0
Subject_17,Butterweich,_mp_2.0,1
Subject_17,Giraffe,_mp_1.0,0
Subject_17,Giraffe,_mp_1.5,1
Subject_17,Giraffe,_mp_2.0,1
Subject_17,Kakadu,_mp_1.0,1
Subject_17,Kakadu,_mp_1.5,0
Subject_17,Kakadu,_mp_2.0,1
Subject_17,Karotte,_mp_1.0,1
Subject_17,Karotte,_mp_1.5,1
Subject_17,Karotte,_mp_2.0,0
Subject_17,Kassette,_mp_1.0,0
Subject_17,Kassette,_mp_1.5,1
Subject_17,Kassette,_mp_2.0,1
Subject_17,Musiker,_mp_1.0,0
Subject_17,Musiker,_mp_1.5,0
